city,lat,lon
沈阳,41.796768,123.429092
长春,43.886841,125.324501
哈尔滨,45.756966,126.642464
北京,39.904987,116.405289
天津,39.125595,117.190186
呼和浩特,40.84149,111.75199
银川,38.48644,106.23248
太原,37.857014,112.549248
石家庄,38.045475,114.502464
济南,36.675808,117.000923
郑州,34.757977,113.665413
西安,34.263161,108.948021
武汉,30.584354,114.298569
南京,32.041546,118.76741
合肥,31.861191,117.283043
上海,31.231707,121.472641
长沙,28.19409,112.982277
南昌,28.676493,115.892151
杭州,30.287458,120.15358
福州,26.075302,119.306236
广州,23.125177,113.28064
台北,25.030724,121.520076
海口,20.04422,110.19989
南宁,22.82402,108.320007
重庆,29.533155,106.504959
昆明,25.040609,102.71225
贵阳,26.578342,106.713478
成都,30.659462,104.065735
兰州,36.06138,103.83417
西宁,36.61729,101.77782
拉萨,29.64415,91.1145
乌鲁木齐,43.82663,87.61688
香港,22.27534,114.16546
澳门,22.19875,113.54913
